# https://astro.kasi.re.kr/life/post/calendarData

2004
소한	1	6	9	19
대한	1	21	2	42
입춘	2	4	20	56
우수	2	19	16	50
경칩	3	5	14	56
춘분	3	20	15	49
청명	4	4	19	43
곡우	4	20	2	50
입하	5	5	13	2
소만	5	21	1	59
망종	6	5	17	14
하지	6	21	9	57
소서	7	7	3	31
대서	7	22	20	50
입추	8	7	13	20
처서	8	23	3	53
백로	9	7	16	13
추분	9	23	1	30
한로	10	8	7	49
상강	10	23	10	49
입동	11	7	10	59
소설	11	22	8	22
대설	12	7	3	49
동지	12	21	21	42

2005
소한	1	5	15	3
대한	1	20	8	22
입춘	2	4	2	43
우수	2	18	22	32
경칩	3	5	20	45
춘분	3	20	21	33
청명	4	5	1	34
곡우	4	20	8	37
입하	5	5	18	53
소만	5	21	7	47
망종	6	5	23	2
하지	6	21	15	46
소서	7	7	9	17
대서	7	23	2	41
입추	8	7	19	3
처서	8	23	9	45
백로	9	7	21	57
추분	9	23	7	23
한로	10	8	13	33
상강	10	23	16	42
입동	11	7	16	42
소설	11	22	14	15
대설	12	7	9	33
동지	12	22	3	35

2006
소한	1	5	20	47
대한	1	20	14	15
입춘	2	4	8	27
우수	2	19	4	26
경칩	3	6	2	29
춘분	3	21	3	26
청명	4	5	7	15
곡우	4	20	14	26
입하	5	6	0	31
소만	5	21	13	32
망종	6	6	4	37
하지	6	21	21	26
소서	7	7	14	51
대서	7	23	8	18
입추	8	8	0	41
처서	8	23	15	23
백로	9	8	3	39
추분	9	23	13	3
한로	10	8	19	21
상강	10	23	22	26
입동	11	7	22	35
소설	11	22	20	2
대설	12	7	15	27
동지	12	22	9	22

2007
소한	1	6	2	40
대한	1	20	20	1
입춘	2	4	14	18
우수	2	19	10	9
경칩	3	6	8	18
춘분	3	21	9	7
청명	4	5	13	5
곡우	4	20	20	7
입하	5	6	6	20
소만	5	21	19	12
망종	6	6	10	27
하지	6	22	3	6
소서	7	7	20	42
대서	7	23	14	0
입추	8	8	6	31
처서	8	23	21	8
백로	9	8	9	29
추분	9	23	18	51
한로	10	9	1	11
상강	10	24	4	15
입동	11	8	4	24
소설	11	23	1	50
대설	12	7	21	14
동지	12	22	15	8

2008
소한	1	6	8	25
대한	1	21	1	43
입춘	2	4	20	0
우수	2	19	15	49
경칩	3	5	13	59
춘분	3	20	14	48
청명	4	4	18	46
곡우	4	20	1	51
입하	5	5	12	3
소만	5	21	1	1
망종	6	5	16	12
하지	6	21	8	59
소서	7	7	2	27
대서	7	22	19	55
입추	8	7	12	16
처서	8	23	3	2
백로	9	7	15	14
추분	9	23	0	44
한로	10	8	6	57
상강	10	23	10	9
입동	11	7	10	10
소설	11	22	7	44
대설	12	7	3	2
동지	12	21	21	4

2009
소한	1	5	14	14
대한	1	20	7	40
입춘	2	4	1	50
우수	2	18	21	46
경칩	3	5	19	47
춘분	3	20	20	44
청명	4	5	0	34
곡우	4	20	7	44
입하	5	5	17	51
소만	5	21	6	51
망종	6	5	21	59
하지	6	21	14	45
소서	7	7	8	13
대서	7	23	1	36
입추	8	7	18	1
처서	8	23	8	38
백로	9	7	20	58
추분	9	23	6	19
한로	10	8	12	40
상강	10	23	15	43
입동	11	7	15	56
소설	11	22	13	22
대설	12	7	8	52
동지	12	22	2	47

2010
소한	1	5	20	9
대한	1	20	13	28
입춘	2	4	7	48
우수	2	19	3	36
경칩	3	6	1	46
춘분	3	21	2	32
청명	4	5	6	30
곡우	4	20	13	30
입하	5	5	23	44
소만	5	21	12	34
망종	6	6	3	49
하지	6	21	20	28
소서	7	7	14	2
대서	7	23	7	21
입추	8	7	23	49
처서	8	23	14	27
백로	9	8	2	45
추분	9	23	12	9
한로	10	8	18	26
상강	10	23	21	35
입동	11	7	21	42
소설	11	22	19	14
대설	12	7	14	38
동지	12	22	8	38

2011
소한	1	6	1	55
대한	1	20	19	18
입춘	2	4	13	33
우수	2	19	9	25
경칩	3	6	7	30
춘분	3	21	8	21
청명	4	5	12	12
곡우	4	20	19	17
입하	5	6	5	23
소만	5	21	18	21
망종	6	6	9	27
하지	6	22	2	16
소서	7	7	19	42
대서	7	23	13	12
입추	8	8	5	33
처서	8	23	20	21
백로	9	8	8	34
추분	9	23	18	5
한로	10	9	0	19
상강	10	24	3	30
입동	11	8	3	35
소설	11	23	1	8
대설	12	7	20	29
동지	12	22	14	30

2012
소한	1	6	7	44
대한	1	21	1	10
입춘	2	4	19	22
우수	2	19	15	17
경칩	3	5	13	21
춘분	3	20	14	14
청명	4	4	18	5
곡우	4	20	1	12
입하	5	5	11	20
소만	5	21	0	15
망종	6	5	15	26
하지	6	21	8	9
소서	7	7	1	41
대서	7	22	19	1
입추	8	7	11	30
처서	8	23	2	7
백로	9	7	14	29
추분	9	22	23	49
한로	10	8	6	12
상강	10	23	9	13
입동	11	7	9	26
소설	11	22	6	50
대설	12	7	2	19
동지	12	21	20	11

2013
소한	1	5	13	34
대한	1	20	6	52
입춘	2	4	1	13
우수	2	18	21	1
경칩	3	5	19	15
춘분	3	20	20	2
청명	4	5	0	2
곡우	4	20	7	3
입하	5	5	17	18
소만	5	21	6	9
망종	6	5	21	23
하지	6	21	14	4
소서	7	7	7	34
대서	7	23	0	56
입추	8	7	17	20
처서	8	23	8	2
백로	9	7	20	16
추분	9	23	5	44
한로	10	8	11	58
상강	10	23	15	10
입동	11	7	15	14
소설	11	22	12	48
대설	12	7	8	8
동지	12	22	2	11

2014
소한	1	5	19	24
대한	1	20	12	51
입춘	2	4	7	3
우수	2	19	2	59
경칩	3	6	1	2
춘분	3	21	1	57
청명	4	5	5	47
곡우	4	20	12	55
입하	5	5	22	59
소만	5	21	11	59
망종	6	6	3	3
하지	6	21	19	51
소서	7	7	13	15
대서	7	23	6	41
입추	8	7	23	2
처서	8	23	13	46
백로	9	8	2	1
추분	9	23	11	29
한로	10	8	17	47
상강	10	23	20	57
입동	11	7	21	7
소설	11	22	18	38
대설	12	7	14	4
동지	12	22	8	3

2015
소한	1	6	1	20
대한	1	20	18	43
입춘	2	4	12	58
우수	2	19	8	50
경칩	3	6	6	56
춘분	3	21	7	45
청명	4	5	11	39
곡우	4	20	18	42
입하	5	6	4	52
소만	5	21	17	45
망종	6	6	8	58
하지	6	22	1	38
소서	7	7	19	12
대서	7	23	12	30
입추	8	8	5	1
처서	8	23	19	37
백로	9	8	7	59
추분	9	23	17	20
한로	10	8	23	43
상강	10	24	2	47
입동	11	8	2	58
소설	11	23	0	25
대설	12	7	19	53
동지	12	22	13	48

2016
소한	1	6	7	8
대한	1	21	0	27
입춘	2	4	18	46
우수	2	19	14	34
경칩	3	5	12	43
춘분	3	20	13	30
청명	4	4	17	27
곡우	4	20	0	29
입하	5	5	10	42
소만	5	20	23	36
망종	6	5	14	48
하지	6	21	7	34
소서	7	7	1	3
대서	7	22	18	30
입추	8	7	10	53
처서	8	23	1	38
백로	9	7	13	51
추분	9	22	23	21
한로	10	8	5	33
상강	10	23	8	45
입동	11	7	8	48
소설	11	22	6	22
대설	12	7	1	41
동지	12	21	19	44

2017
소한	1	5	12	56
대한	1	20	6	23
입춘	2	4	0	34
우수	2	18	20	31
경칩	3	5	18	33
춘분	3	20	19	28
청명	4	4	23	17
곡우	4	20	6	27
입하	5	5	16	31
소만	5	21	5	31
망종	6	5	20	36
하지	6	21	13	24
소서	7	7	6	51
대서	7	23	0	15
입추	8	7	16	40
처서	8	23	7	20
백로	9	7	19	38
추분	9	23	5	2
한로	10	8	11	22
상강	10	23	14	27
입동	11	7	14	38
소설	11	22	12	4
대설	12	7	7	32
동지	12	22	1	28

2018
소한	1	5	18	49
대한	1	20	12	9
입춘	2	4	6	28
우수	2	19	2	18
경칩	3	6	0	28
춘분	3	21	1	15
청명	4	5	5	13
곡우	4	20	12	13
입하	5	5	22	25
소만	5	21	11	15
망종	6	6	2	29
하지	6	21	19	7
소서	7	7	12	42
대서	7	23	6	0
입추	8	7	22	31
처서	8	23	13	9
백로	9	8	1	30
추분	9	23	10	54
한로	10	8	17	15
상강	10	23	20	22
입동	11	7	20	32
소설	11	22	18	2
대설	12	7	13	26
동지	12	22	7	23

2019
소한	1	6	0	39
대한	1	20	18	0
입춘	2	4	12	14
우수	2	19	8	4
경칩	3	6	6	10
